14.0,106.0,2.0,3.0,6.75,69.0,2.0,3.0,7.625,80.0,2.0,2.0,3.75,43.0,4.0,5.0,13.875,172.0,3.0,3.0,48.625,662.0,7.0,6.0,9.0,91.0,4.0,4.0,9.25,111.0,4.0,4.0,1
25.0,335.0,4.0,5.0,13.25,152.0,4.0,4.0,10.875,120.0,4.0,3.0,7.25,89.0,4.0,4.0,8.75,93.0,4.0,4.0,26.5,414.0,7.0,6.0,11.0,118.0,5.0,4.0,10.0,114.0,5.0,4.0,1
16.625,137.0,3.0,4.0,5.625,49.0,4.0,2.0,7.0,73.0,2.0,3.0,7.125,71.0,3.0,3.0,24.0,286.0,6.0,5.0,44.125,541.0,6.0,5.0,13.625,159.0,4.0,4.0,12.375,95.0,1.0,3.0,1
17.375,198.0,4.0,5.0,7.625,96.0,5.0,4.0,5.0,54.0,3.0,4.0,3.5,46.0,4.0,5.0,8.75,121.0,4.0,5.0,21.125,258.0,5.0,3.0,11.25,132.0,5.0,5.0,12.625,112.0,3.0,3.0,1
12.25,153.0,3.0,4.0,7.625,91.0,4.0,3.0,6.375,73.0,4.0,4.0,8.5,110.0,5.0,4.0,22.625,304.0,5.0,4.0,53.0,826.0,6.0,5.0,13.0,113.0,4.0,4.0,16.375,184.0,5.0,4.0,1
20.375,197.0,3.0,2.0,6.0,64.0,3.0,3.0,4.0,44.0,4.0,3.0,6.375,92.0,6.0,5.0,30.625,428.0,6.0,5.0,49.125,612.0,4.0,3.0,9.625,78.0,2.0,4.0,16.125,158.0,4.0,4.0,1
20.625,200.0,4.0,4.0,7.0,80.0,1.0,3.0,5.25,50.0,3.0,1.0,3.625,45.0,3.0,4.0,15.375,173.0,4.0,5.0,34.625,405.0,4.0,3.0,13.75,150.0,3.0,4.0,14.0,173.0,4.0,5.0,1
24.125,336.0,6.0,5.0,9.25,114.0,3.0,5.0,4.5,46.0,4.0,5.0,3.5,36.0,3.0,3.0,5.375,46.0,3.0,3.0,23.25,261.0,6.0,5.0,14.125,200.0,6.0,5.0,12.875,184.0,5.0,5.0,1
15.375,169.0,5.0,4.0,8.875,93.0,3.0,4.0,5.25,57.0,5.0,4.0,4.5,43.0,3.0,4.0,13.125,185.0,6.0,5.0,42.5,540.0,5.0,4.0,13.0,161.0,5.0,4.0,12.125,125.0,2.0,4.0,1
12.875,129.0,4.0,3.0,8.875,84.0,6.0,5.0,5.625,56.0,2.0,5.0,2.875,17.0,2.0,2.0,10.375,139.0,5.0,5.0,24.5,336.0,5.0,5.0,13.875,184.0,5.0,5.0,11.625,107.0,3.0,4.0,1
6.875,90.0,3.0,4.0,10.5,129.0,5.0,5.0,6.5,78.0,3.0,3.0,3.5,52.0,3.0,6.0,12.625,175.0,4.0,4.0,24.75,357.0,6.0,5.0,7.875,88.0,4.0,4.0,11.375,107.0,4.0,3.0,1
14.625,169.0,4.0,3.0,16.0,239.0,5.0,5.0,9.75,135.0,5.0,5.0,4.125,56.0,6.0,5.0,14.125,148.0,4.0,3.0,28.125,264.0,3.0,3.0,13.625,116.0,2.0,5.0,13.5,188.0,5.0,4.0,1
16.875,244.0,6.0,5.0,16.75,220.0,5.0,5.0,11.0,113.0,4.0,4.0,6.375,49.0,3.0,2.0,23.0,259.0,4.0,3.0,45.625,522.0,4.0,3.0,12.0,164.0,5.0,5.0,11.75,125.0,3.0,3.0,1
13.875,151.0,5.0,5.0,8.75,108.0,7.0,6.0,9.5,85.0,3.0,4.0,8.375,84.0,4.0,5.0,24.75,311.0,5.0,4.0,44.875,572.0,4.0,4.0,12.5,102.0,4.0,4.0,12.125,114.0,4.0,3.0,1
35.625,471.0,4.0,5.0,8.375,89.0,4.0,5.0,4.25,46.0,5.0,6.0,2.625,32.0,2.0,4.0,16.125,179.0,4.0,4.0,36.625,419.0,5.0,4.0,10.0,108.0,3.0,4.0,17.875,201.0,5.0,4.0,1
13.875,178.0,5.0,4.0,15.25,125.0,2.0,4.0,16.875,144.0,2.0,4.0,15.75,149.0,2.0,5.0,27.25,300.0,3.0,5.0,52.625,591.0,3.0,5.0,18.875,205.0,5.0,4.0,19.0,200.0,5.0,4.0,1
23.625,284.0,5.0,4.0,6.5,94.0,4.0,5.0,3.125,40.0,1.0,2.0,3.75,25.0,1.0,2.0,9.375,83.0,3.0,4.0,26.875,229.0,4.0,4.0,13.625,174.0,5.0,5.0,22.625,261.0,5.0,4.0,1
